עבודה,מדגם,תאריך קבלה,תאריך דיגום,תאריך סיום,שם חומר,אזור,ישוב,מגדל,חלקה,חלק חומר,בור,עומק ישן,עומק מ-,עומק עד,גידול,זן,כנה,הערת מדגם,רוויה %,pH,מוליכות חשמ. dS/m,"כלוריד מא""ק/ל'","נתרן מא""ק/ל'","סידן+מגניון מא""ק/ל'",--,--,SAR,--,גיר כללי %,גיר פעיל %,--,חול %,סילט %,חרסית %,מרקם קוד,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-
29095,11238,24/08/2017,24/08/2017,08/10/2017,קרקע ומצעים,עמק הירדן,כנרת,אבוקדו,חלקה 18,קרקע,3,2,40,70,,,,,77.53,7.8,0.59,1.32,,3.42,,,,,17.836,9.73,,23,15.8,61.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29095,11239,24/08/2017,24/08/2017,08/10/2017,קרקע ומצעים,עמק הירדן,כנרת,אבוקדו,חלקה 18,קרקע,3,3,70,100,,,,,79.58,7.9,0.87,1.5,6.933,3,,,5.66,,18.564,7.77,,27,13.8,59.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29095,11240,24/08/2017,24/08/2017,08/10/2017,קרקע ומצעים,עמק הירדן,כנרת,אבוקדו,חלקה 18,קרקע,3,4,100,130,,,,,83.89,8.1,1.05,1.86,8.933,2.94,,,7.37,,19.292,6.93,,33,7.8,59.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29095,11241,24/08/2017,24/08/2017,08/10/2017,קרקע ומצעים,עמק הירדן,כנרת,אבוקדו,חלקה 18,קרקע,3,5,130,160,,,,,83.5,7.8,2.08,6.76,17.6,4.88,,,11.27,,26.572,5.9,,47,1.8,51.2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29095,11242,24/08/2017,24/08/2017,08/10/2017,קרקע ומצעים,עמק הירדן,כנרת,אבוקדו,חלקה 18,קרקע,4,1,0,40,,,,,72.78,7.3,1.29,2.2,2.438,15.16,,,0.89,,22.932,6.44,,51,9.8,39.2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29095,11243,24/08/2017,24/08/2017,08/10/2017,קרקע ומצעים,עמק הירדן,כנרת,אבוקדו,חלקה 18,קרקע,4,2,40,80,,,,,71.68,7.7,1.15,2.28,7.6,4.62,,,5,,41.496,16.96,,29,19.8,51.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29095,11244,24/08/2017,24/08/2017,08/10/2017,קרקע ומצעים,עמק הירדן,כנרת,אבוקדו,חלקה 18,קרקע,4,3,80,120,,,,,55.82,7.9,1.41,2.04,,3.5,,,,,35.308,13.08,,59,9.8,31.2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29095,11245,24/08/2017,24/08/2017,08/10/2017,קרקע ומצעים,עמק הירדן,כנרת,אבוקדו,חלקה 19,קרקע,5,1,0,30,,,,,76.17,7,1.99,3.88,5.333,21.86,,,1.61,,30.94,8.75,,31,21.8,47.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29095,11246,24/08/2017,24/08/2017,08/10/2017,קרקע ומצעים,עמק הירדן,כנרת,אבוקדו,חלקה 19,קרקע,5,2,30,50,,,,,69.13,7.8,0.94,2.4,6.4,4.04,,,4.5,,36.036,13.18,,27,19.8,53.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29095,11247,24/08/2017,24/08/2017,08/10/2017,קרקע ומצעים,עמק הירדן,כנרת,אבוקדו,חלקה 19,קרקע,5,3,50,90,,,,,79.86,7.9,1.49,10.56,10.529,5.22,,,6.52,,27.3,9,,25,17.8,57.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29095,11248,24/08/2017,24/08/2017,08/10/2017,קרקע ומצעים,עמק הירדן,כנרת,אבוקדו,חלקה 19,קרקע,5,4,90,130,,,,,87.35,7.9,1.66,10.24,,6.08,,,,,32.032,14.36,,21,19.8,59.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29095,11249,24/08/2017,24/08/2017,08/10/2017,קרקע ומצעים,עמק הירדן,כנרת,אבוקדו,חלקה 19,קרקע,5,5,130,170,,,,,90.43,7.9,2.37,15.92,14.5,10.9,,,6.21,,24.388,11.9,,25,11.8,63.2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
